ID,Subject,Total,proba_echec
201195,الكيمياء الصناعية,0.0,0.9999696
201260,الكيمياء الصناعية,0.0,0.9999696
201156,الكيمياء الصناعية,0.0,0.9999696
201001,الكيمياء الصناعية,0.0,0.9999696
201276,الكيمياء الصناعية,0.0,0.9999696
201049,الكيمياء الصناعية,0.0,0.9999696
201072,الكيمياء الصناعية,0.0,0.9999696
201047,الكيمياء الصناعية,0.0,0.9999696
201056,الكيمياء الصناعية,0.0,0.9999696
201058,الكيمياء الصناعية,0.0,0.9999696
206027,ميكانيك هندسي,8.0,0.9999696
201126,الكيمياء الصناعية,0.0,0.9999696
201159,الكيمياء الصناعية,0.0,0.9999696
201130,الكيمياء الصناعية,0.0,0.9999696
201249,الكيمياء الصناعية,0.0,0.9999696
201182,الكيمياء الصناعية,0.0,0.9999696
201018,الكيمياء الصناعية,0.0,0.9999696
201180,الكيمياء الصناعية,0.0,0.9999696
201099,الكيمياء الصناعية,0.0,0.9999696
201091,الكيمياء الصناعية,0.0,0.9999696
201194,الكيمياء الصناعية,0.0,0.9999696
201118,الكيمياء الصناعية,0.0,0.9999696
201204,الكيمياء الصناعية,0.0,0.9999696
201136,الكيمياء الصناعية,0.0,0.9999696
201169,الكيمياء الصناعية,0.0,0.9999696
201206,الكيمياء الصناعية,0.0,0.9999696
201038,الكيمياء الصناعية,0.0,0.9999696
201265,الكيمياء الصناعية,0.0,0.9999696
201240,الكيمياء الصناعية,0.0,0.9999696
201178,الكيمياء الصناعية,0.0,0.9999696
201198,الكيمياء الصناعية,0.0,0.9999696
201025,الكيمياء الصناعية,0.0,0.9999696
206051,اللغة العربية,0.0,0.9999696
205035,اللغة العربية,0.0,0.9999696
205036,اللغة العربية,0.0,0.9999696
205047,اللغة العربية,0.0,0.9999696
205199,اللغة العربية,0.0,0.9999696
205121,اللغة العربية,0.0,0.9999696
205205,اللغة العربية,0.0,0.9999696
205122,اللغة العربية,0.0,0.9999696
205098,اللغة العربية,0.0,0.9999696
205201,اللغة العربية,0.0,0.9999696
205069,اللغة العربية,0.0,0.9999696
205087,اللغة العربية,0.0,0.9999696
205078,اللغة العربية,0.0,0.9999696
202260,رياضيات 1,12.0,0.96967804
205132,اللغة العربية,0.0,0.9999696
205204,اللغة العربية,0.0,0.9999696
205127,اللغة العربية,0.0,0.9999696
205111,اللغة العربية,0.0,0.9999696
202098,رياضيات 1,17.0,0.95486146
205159,اللغة العربية,0.0,0.9999696
205008,اللغة العربية,0.0,0.9999696
202221,رياضيات 1,9.0,0.9999696
207072,اللغة العربية,0.0,0.9999696
207028,اللغة العربية,0.0,0.9999696
207032,اللغة العربية,0.0,0.9999696
202162,رياضيات 1,15.0,0.9669759
207087,اللغة العربية,0.0,0.9999696
207007,اللغة العربية,0.0,0.9999696
207097,اللغة العربية,0.0,0.9999696
207059,اللغة العربية,0.0,0.9999696
207020,اللغة العربية,0.0,0.9999696
207054,اللغة العربية,0.0,0.9999696
206132,اللغة العربية,0.0,0.9999696
206067,اللغة العربية,0.0,0.9999696
206103,اللغة العربية,0.0,0.9999696
206064,اللغة العربية,0.0,0.9999696
206157,اللغة العربية,0.0,0.9999696
206063,اللغة العربية,0.0,0.9999696
196014,ميكانيك هندسي,0.0,0.9999696
207012,اللغة العربية,0.0,0.9999696
207055,اللغة العربية,0.0,0.9999696
207051,اللغة العربية,0.0,0.9999696
207075,اللغة العربية,0.0,0.9999696
207070,اللغة العربية,0.0,0.9999696
1336,مبادئ الهندسة الكهربائية,0.0,0.9999696
205195,اللغة العربية,0.0,0.9999696
